"Contract No","Title","DAC Code","Organisation","Organisation Nationality","Country or Region","Action location","Amount in Euro","EC financing","Total cost in Euro","Duration","Duration Unit","Year"
170834,"Combating family-based violence against women",15160,"GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES","France","Vietnam","Viet Nam, Hoa Binh province.  Beneficiary: officials of the Women's Union (semi-Government organisation)",200000,79,253418,24,"M",2008
171328,"Supporting the Law by Understanding HIV and Training in the Practice of Human Rights Advocacy for PLHIV",15160,"CARE DEUTSCHLAND-LUXEMBURG EV","Germany","Vietnam","Viet Nam, Ha Noi and HCMC.  Beneficiary: Local NGOs working with People Living with HIV/AIDS.  ",124212.45,80,155265.56,24,"M",2008
171337,"Socialising Women Rights and Women Roles Post Tsunami and Post Conflict Recovery in Aceh, Indonesia ",15160,"YAYASAN ONTRAK MEDIA INDONESIA","Indonesia","Indonesia","Province of Nangroe Aceh Darussalam (NAD) Indonesia",99920,80,124900,12,"M",2008
172463,"Fostering Reform Process in Political Finances towards Strengthening Levels of Transparency and Accountability ",15160,"TRANSPARENCY INTERNATIONALINDONESIA","Indonesia","Indonesia","Jakarta Indonesia",98665.58,60,164442.63,14,"M",2008
172570,"Promoting Tolerance and Enhancing Inclusiveness through Mosque and Pesantren Networks",15160,"YAYASAN MASYARAKAT MUSLIM MODERAT","Indonesia","Indonesia","Indonesia: Jakarta, West Java (Majalengka district), South Sulawesi (Makassar municipality), and North Sumatera (Medan municipality) ",79998.4,80,99998,18,"M",2008
166346,"Dummy contract related to ENV/2005/107-948",41020,"UNITED NATIONS ENVIRONMENT PROGRAMME","Kenya","South Asia Region","South Asia",229700,100,229700,3,"M",2008
145720,"National Food Security Nutritional Surveillance Project",52010,"BRAC UNIVERSITY","Bangladesh","Bangladesh","Country wide: the action will take place in the 6 divisions of the country. Random sampling techniques will be used to select the districts, sub-districts and villages where surveys will be conducted, in order to achieve national representativity.",5220838,90,5793870,60,"M",2008
159363,"National Food Policy Capacity Strengthening Programme - Phase II",-15110,"THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS","Italy","Bangladesh","Dhaka",3850000,51,7501410,48,"M",2008
168687,"Crew Wage for Rural Employment Opportunities for Public Assets ",52010,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Bangladesh","All the 388 unions of 6 following districts: Barguna, Satkhira, Serajganj, Narsingdi, Feni and Habiganj.  The REOPA Project Task Force (PTF) and REOPA CST offices are located at Dhaka",3048625,41,7522332,16,"M",2008
147933,"Philippines - Border Management Project'' / International Organisation for Migration Geneva- Contribution Agreement II. Continuation and replacement of closed contract ASIA/2005/113-343",15130,"INTERNATIONAL ORGANIZATION FOR MIGRATION","Switzerland","Philippines","the Philippines",1942583,38,5145000,36,"M",2008
154465,"Europe-Asia Policy Forum",99810,"UNIVERSITEIT LEIDEN","Netherlands (The)","All Countries","The main target groups are European decision-makers, academics and  think-tanks in the area of Asia-Europe studies, NGOs, media and journalists, private sector. Activities take place in Europe, notably Belgium (Brussels), Ireland (Derry), Denmark (Copenhagen) and Asia, notably Indonesia (Jakarta), India (New Delhi), Vietnam (Hanoi), Singapore.",800000,70,1144742,36,"M",2008
160241,"The European Business and Technology Centre in India (EBTC)",33120,"EUROCHAMBRES-ASSOCIATION DES CHAMBRES DE COMMERCE ET D'INDUSTRIE EUROPEENNES ASSOCIATION INTERNATIONALE","Belgium","India","The Centre will be established in New Delhi, India. The activities will be organised mainly in India ( with antennaes in Mumbai and Bangalore) and also throughout the EU.",6586578,80,8233222,60,"M",2008
162720,"Understanding China",25010,"EUROCHAMBRES-ASSOCIATION DES CHAMBRES DE COMMERCE ET D'INDUSTRIE EUROPEENNES ASSOCIATION INTERNATIONALE","Belgium","China","The target groups are European business/SME intermediary organisations, relevant research community at European and national level, European policy and decision makers. The activities take place in Europe, notably Belgium (Brussels and Antwerp), Germany, Italy, France, Spain, Czech Republic, The Netherlands, Sweden, Malta, and in China / Asia, notably Beijing and Shanghai.",2900000,80,3625000,42,"M",2008
170182,"Promoting Integrated Water Resources Management and Fostering Transboundary Dialogue in Central Asia",14010,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Central Asia Region","Kyrgyzstan, Tajikistan, and Kazakhstan",1500000,44,3400000,48,"M",2008
171678,"The Establishment of European Business and Technology Centres in India",33120,"EUROCHAMBRES-ASSOCIATION DES CHAMBRES DE COMMERCE ET D'INDUSTRIE EUROPEENNES ASSOCIATION INTERNATIONALE","Belgium","India","Under this contract EBTC will establish Regional Centres in India. The Centre's hub will be  will be in New Delhi, India. The exact number and locations of these Regional Centres is still to be decided. The activities will be organised mainly in India ( different states of India) and also throughout the EU.",5000000,80,6250000,96,"M",2008
129350,"Kazakhstan Avian Influenza Communication Strategy",31195,"UNITED NATIONS CHILDREN'S FUND","United States","Kazakhstan","Kazakhstan, 6 most affected oblasts identified by the Government of Kazakhstan: Almaty oblast (south); Akmola, Pavlod, Kostanai, North Kazakhstan oblasts (north and centre); Mangistau oblast (West)",240000,80,300000,14,"M",2008
134859,"BOMCA 7",15210,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Tacis Region","Action location: Numerous locations (capitals, provincial cities, border crossing points) in all five Central Asian countries
Main target groups: law enforcement agencies working on Central Asian borders",6000000,98,6150000,24,"M",2008
140491,"Interpol in Central Asia",15140,"INTERPOL","France","Tacis Region","Action location: Five Central Asian capitals
Main target groups: the 5 national Interpol offices of CA countries",2999306,100,2999306,27,"M",2008
144919,"Income, independence, inclusion - Supporting economic development and welfare in Kulob district, Tajikistan",43040,"MISSION OST","Denmark","Tajikistan","Tajikistan, Kulob district, Jamoats: Dahana, Ziraki and Kulob city",890666,90,989629,23,"M",2008
144938,"Improving living standards in Khatlon Region through control of brucellosis in animals and humans",12181,"THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS","Italy","Tajikistan","Tajikistan, Khatlon region",1042413,90,1158236,18,"M",2008
145002,"Addressing the social consequences of transition in the Ferghana Valley - Tajikistan",43040,"UNITED NATIONS ORGANISATION","United States","Tajikistan","Tajikistan, Sughd Region, B. Gafurov, J. Rasulov and Isfara districts",495000,90,550087,23,"M",2008
145277,"Soghd Health & Psycho-social Support  Project ",43040,"STICHTING AIDS FOUNDATION EAST-WEST","Netherlands (The)","Tajikistan","Kairakkum, chkalovsk and Khujand cities of Sogd province of Tajikisttan",450974,85,531057,23,"M",2008
154943,"Support to the Regional Environmental Centre for Central Asia (CAREC)",41010,"THE REGIONAL ENVIRONMENTAL CENTRE FOR CENTRAL ASIA-ASSOCIATION","Kazakhstan","Tacis Region","Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan",550000,80,687833,10,"M",2008
156394,"Co-operation is better than confrontation: Development of co-operation and trust between regional /local authorities and non-profit organizations in Kazakhstan",15150,"SDRUZENI BRONTOSAURI EKOCENTRUM ZELENY KLUB","Czech Republic","Kazakhstan","Kazakhstan: Karaganda, Astana, Taraz, atyrau, Uralsk, Almaty",100000,80,125000,18,"M",2008
157138,"Strengthening law enforcement agencies to combat violence against women",15150,"STICHTING HIVOS (HUMANISTISCH INSTITUUT VOOR ONTWIKKELINGS SAMENWERKING)","Netherlands (The)","Kazakhstan","Kazakhstan: Almaty (7 districtd of almaty city). Target group: district police officers and chifs, inspectors of Division fro Women protection from violence, office of public prosecution, District and City Commission of Family Affairs and gender Policy members    ",145728,80,182160,24,"M",2008
157310,"Improvement of educational and rehabilitative opportunities for disabled minors",15150,"INTERNATIONAL ASSOCIATION FOR SOCIAL PROJECTS PUBLIC ASSOCIATION","Kazakhstan","Kazakhstan","Kazakhstan. Almaty and neighbouring areas. Target groups: Institutions housing disabled children; disabled children coming from the selected institutions od from emarginated families; personnel in charge of the administration, social workers and employed in the involved structures operating in favour of disabled children, he families of the beneficiary children ",189006.35,80,237331.35,24,"M",2008
158892,"Transparency and public participation in environmental programmes in Kazakhstan",15150,"STICHTING MILIEUKONTAKT INTERNATIONAL","Netherlands (The)","Kazakhstan","Kazakhstan: City of Aktobe, Almaty oblast (Tekeli), City of Astana",158444,80,198055,24,"M",2008
159185,"Ecological Tourism and Public Awareness in Central Kazakhstan (ETPACK)",15150,"NATURSCHUTZBUND DEUTSCHLAND (NABU)EV","Germany","Kazakhstan","Central Kazakhstan (Karagana Oblast, Akmola oblast, Semipalatinsk Oblast). Target group: national and international tourists, members of multi-member NGO ""Friends of ecotourism"", Regional agenccy for Eco-tourism ""Nomadic Travel Kazakhstan"" Housholds and local communities building up community based eco-tourism.",159656,80,199570,24,"M",2008
159261,"Improvement of Mother and Child Care Health Services in Uzbekistan",12110,"UNITED NATIONS CHILDREN'S FUND","United States","Uzbekistan ","Uzbekistan - Whole country",3500000,92,3800000,30,"M",2008
160293,"Civil Society Partnership for Rural Children",15150,"INTERNATIONAL STEP BY STEP ASSOCIATION","Netherlands (The)","Kazakhstan","Kazakhstan: Almatinskaya Oblast, Talgar District & Uzunagash District. Target group: CF ""Step by Step"" Advisory Board members, children in 4 poor rural communities, parents in 4 poor rural communities, caregivers and teachers at pilot sites, local education department staff and community stakeholders, teachers, administrators, parents and other stakeholders ",158710,80,198387,24,"M",2008
160707,"Access to basic services for internal migrants and homeless in Almaty",15150,"FOLKEKIRKENS NODHJAELP","Denmark","Kazakhstan","Kazakhstan (Almaty). Target group: 200 active representatives of 20 Self Help Groups (SHG) and Federations in settlements Shanyrak and Duman in city districts Auezov, Medeu and Alatau respectively, 10-15 active representatives of the NGO ¿Association of Women Moldyr¿ and its network partners and SHGs, local and regional executive and legislative authorities (20-30 public servants will be directly involved). Local partners Moldyr and Baspana.",199683,74,271677,24,"M",2008
160756,"Improving the livelihoods and social welfare of rural
population in Sughd Region through a support of economic
development initiatives and reforms, social inclusion of
vulnerable segments of population in decision making and
rehabilitation proces",43040,"INTERNATIONAL CHARITY PUBLIC ORGANIZATION JOVID","Tajikistan","Tajikistan","Shahristan, Istravshan, Ganchi, Gafurov, Matchoh and Zafarabad districts of Soghd region of Tajikistan",700000,80,875000,24,"M",2008
160759,"Poverty Alleviation in Tajikistan through Education and Non-formal Training   (PATENT)",11330,"DEUTSCHER VOLKSHOCHSCHUL-VERBAND EV","Germany","Tajikistan","Tajikistan (Sughd and Khatlon Regions)",540000,80,675000,24,"M",2008
160760,"Economic development through a comprehensive seed potato production, marketing and extension service system in Zerafshan Valley",43040,"DEUTSCHE WELTHUNGERHILFE EV","Germany","Tajikistan","Ainy and Gorno Matcha of the Zeravshan valley, Tajikistan",636881,80,796101,24,"M",2008
160761,"Stimulating Sustainable Change for Alleviating Poverty: Alternative Approaches to Water Supply, Sanitation and Energy Systems",14030,"MISSION OST","Denmark","Tajikistan","Aini and Penjikent districts of Sughd Oblast, Tajikistan",799619,80,999524,24,"M",2008
161054,"Improving the Livelihoods of Vulnerable, Rural Populations in Sughd and Khatlon Oblasts, Tajikistan in a Participatory and Sustainable Way",43040,"AGENCE D'AIDE A LA COOPERATION TECHNIQUE ET AU DEVELOPPEMENT","France","Tajikistan","Action takes place in all the villages of 5 Jamoats of Panj district (Khatlon province) and in all the villages of 6 Jamoats of Konibodom district (Sughd province)",1346111,80,1682638,24,"M",2008
162541,"Boosting a Culture of Women¿s Rights in Kazakhstan",15150,"CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DI MILANO","Italy","Kazakhstan","Country: Kazakhstan
Districts of Enbekshi-Kazak (Almaty region), Kokchetav, Taraz, Chimkent, Almaty. 
Target group: &#9642; 6 activists of the Feminist League;
&#9642;28 activists of the selected women¿s NGOs based in Kokchetav, Chimkent, Taraz and Enbekshi-Kazak; 
&#9642; 40 activists of the local NGOs community 
&#9642;16 representatives of decision-making bodies dealing with gender and social issues in Almaty, Kokchetav, Chimkent, Taraz and Enbekshi-Kazak ",189083.88,80,236384.4,20,"M",2008
162632,"Financial Education Program for Low-Income Households in Kazakhstan",15150,"FUNDACJA CENTRUM ORGANIZACJI POZYCZKOWYCH (MICROFINANCE CENTRE)","Poland","Kazakhstan","Kazakhstan, central level and local organizations from two provinces selected in the course of action; preference for cooperation with the NGOs from remote areas",199120,80,248900,24,"M",2008
163878,"Enhancement of Living Standards in Ferghana Valley,  AP2006",15140,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Uzbekistan ","Uzbekistan",3500000,91,3850000,27,"M",2008
164076,"Harmonization and Approximation of Water Standards and Norms in Central Asia",14010,"THE REGIONAL ENVIRONMENTAL CENTRE FOR CENTRAL ASIA-ASSOCIATION","Kazakhstan","Tacis Region","Kazakhstan, Kyrgyzstan, Tajikistan, and Turkmenistan",199992,80,249982,14,"M",2008
172142,"Support to the Regional Environmental Centre for Central Asia (CAREC) - EC 6",41010,"THE REGIONAL ENVIRONMENTAL CENTRE FOR CENTRAL ASIA-ASSOCIATION","Kazakhstan","Tacis Region","Central Asian Countries (Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan)",950000,80,1187500,12,"M",2008
166384,"External Thematic Expertise on Migration",13010,"INTERNATIONAL CENTRE FOR MIGRATIONPOLICY DEVELOPMENT","Austria","All Countries","Brussels and 3rd countries covered by DG EuropeAid",399917.64,100,399917.64,13,"M",2008
153661,"Support to Education in Emergencies and Post-crisis - Transition Programme",11110,"UNITED NATIONS CHILDREN'S FUND","United States","All Countries","Global, developing countries",4000000,4,105000000,26,"M",2008
153831,"Contribution to Fast Track Initiative Secretariat",11110,"THE WORLD BANK GROUP","United States","All Countries","Global, developing countries",1000000,100,1000000,24,"M",2008
143935,"Mainstreaming environment for poverty reduction and pro-poor growth (Poverty-Environment Initiative - PEI)",41010,"UNITED NATIONS ENVIRONMENT PROGRAMME","Kenya","All Countries","Capacity building programmes are on-going in Vietnam, Nicaragua, Kenya, Mozambique, Tanzania, Mali, Rwanda, Uganda and Mauritania. - PEI intends to scale-up the delivery of environmental mainstreaming capacity development support to more countries in Africa, Asia and later in other regions.",2700000,23,11805663.1,48,"M",2008
143936,"Bioenergy, sustainability and trade-offs: Can we avoid deforestation while promoting bioenergy?",23082,"CENTER FOR INTERNATIONAL FORESTRY RESERCH","Indonesia","All Countries","Location: South-East Asia, Sub-Saharan Africa, Tropical Latin America. - Target groups: Policy makers in developing countries, policy makers in developed countries, particularly in Europe, and global and regional processes and fora on bioenergy and climate change. - Final beneficiaries: Rural poor in developing countries benefiting from more sustainable and equitable bioenergy production and forest resources management.",2000000,83,2415460.77,36,"M",2008
